CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10058,3625.218146,1,313.27,313.27,0,668.468743,0.25,0.25,0,0.416667,5,4,4000,0,,0,12
C10062,1879.114033,0.727273,113,113,0,0,0.166667,0.166667,0,0,0,2,6500,3509.686561,548.105836,0,12
C10063,1555.793701,1,66.2,66.2,0,0,0.083333,0.083333,0,0,0,1,1600,338.083661,837.215674,0,12
C10068,1758.059987,1,412.33,325.21,87.12,0,0.583333,0.333333,0.166667,0,0,11,1800,777.451648,897.905444,0,12
C10072,1699.435486,1,1363.69,1363.69,0,0,0.333333,0.333333,0,0,0,4,1700,1623.816348,923.505868,0,12
C10078,532.334517,0.909091,791.94,516.64,275.3,0,0.272727,0.090909,0.181818,0,0,7,6000,1305.177304,175.510344,0,11
C10079,5860.433624,1,561.87,249.5,312.37,0,0.833333,0.166667,0.75,0,0,14,6000,1990.044998,2161.428274,0,12
C10083,6593.820644,1,388.66,388.66,0,4621.93458,0.583333,0.583333,0,0.416667,7,7,7000,1624.583114,2503.40234,0,12
C10086,3.78631,0.636364,133.05,28.2,104.85,0,0.416667,0.166667,0.25,0,0,5,12000,210.053432,99.533735,0.444444,12
C10088,1935.362486,1,4915.6,4515.34,400.26,293.844792,1,1,0.333333,0.083333,1,50,9000,4921.066897,594.756686,0,12
C10089,134.917202,1,1247.8,1247.8,0,0,1,1,0,0,0,22,16500,1275.229436,171.357189,1,12
C10090,7069.950386,1,1603.78,1445.14,158.64,5626.004046,1,0.833333,1,0.75,23,23,11000,4589.873897,1876.262988,0,12
C10092,8181.251131,1,2258.01,1318.78,939.23,5251.228934,1,0.75,1,0.75,21,60,13500,3021.575846,2074.581541,0,12
C10093,4037.305658,1,45,45,0,104.238064,0.083333,0.083333,0,0.083333,1,1,4500,1073.844885,968.941265,0,12
C10095,9381.255094,1,5100.07,1147.83,3952.24,370.737197,1,0.25,0.916667,0.083333,1,46,9000,6409.496345,9827.045323,0,12
C10096,1977.00709,1,1032.04,226.9,805.14,4335.919227,0.909091,0.090909,0.818182,0.545455,21,17,4000,3056.424974,910.707525,0.090909,11
C10097,1321.47608,1,45.65,45.65,0,495.657934,0.083333,0.083333,0,0.083333,1,1,1800,440.840439,312.560636,0,12
C10099,2329.485768,1,213.34,213.34,0,0,0.25,0.25,0,0,0,3,2400,0,,0,12
C10101,1619.955708,1,739.44,739.44,0,0,0.666667,0.666667,0,0,0,11,6000,417.128532,389.138517,0,12
C10113,1246.624558,1,423.7,177.64,246.06,412.399058,0.666667,0.166667,0.5,0.083333,2,10,2000,577.050373,498.365419,0,12
C10114,6644.201651,1,4478.75,2721.59,1757.16,7205.520805,1,0.916667,1,0.583333,21,64,9000,10857.94321,2469.571326,0.083333,12
C10115,156.216753,0.818182,1354.86,585.63,769.23,0,0.916667,0.333333,0.833333,0,0,34,5500,858.976682,108.319927,0,12
C10117,5322.994094,1,2812.2,857.12,1955.08,2510.352951,1,0.25,1,0.333333,8,81,8500,1509.423237,1834.031569,0,12
C10119,175.341651,0.818182,1508.9,1252.36,256.54,0,0.666667,0.416667,0.333333,0,0,14,5000,1884.227778,136.639824,1,12
C10120,680.195157,1,1045.57,667.95,377.62,0,1,0.583333,1,0,0,25,3000,552.432305,207.720441,0,12
C10126,1464.324632,1,1174.39,1174.39,0,0,0.25,0.25,0,0,0,8,9000,0,,0,12
C10131,2392.917738,1,12462.44,12462.44,0,0,0.916667,0.916667,0,0,0,217,2800,11628.71557,2000.990921,0,12
C10137,4637.848144,1,1271.12,351.54,919.58,0,0.833333,0.25,0.833333,0,0,33,5000,1906.032044,3572.279251,0,12
C10139,9354.06045,1,796.33,796.33,0,13748.47131,0.083333,0.083333,0,0.666667,16,1,13000,10664.65866,2600.875721,0.083333,12
C10141,1562.633343,1,1330.62,1169.63,160.99,0,0.5,0.166667,0.25,0,0,8,2000,1020.783647,709.610053,0,12
C10143,706.132889,1,897.86,714.52,183.34,586.268966,0.916667,0.333333,0.916667,0.25,3,18,1200,972.358048,184.524376,0,12
C10146,947.13081,1,197.06,148.66,48.4,0,0.333333,0.25,0.166667,0,0,5,1000,492.200419,509.384182,0,12
C10150,2163.678757,1,5779.36,3436.53,2342.83,0,1,1,1,0,0,97,6500,4416.41268,546.439139,0,12
C10153,264.811595,1,28.65,28.65,0,384.26178,0.083333,0.083333,0,0.083333,1,1,9000,1235.630069,194.324456,0.083333,12
C10154,1108.22253,0.909091,944.96,164.96,780,0,0.5,0.25,0.416667,0,0,9,1500,1955.198953,992.652486,0,12
C10157,1523.911458,1,4075.37,3322.28,753.09,0,1,1,1,0,0,31,6500,2254.26002,329.29648,0,12
C10159,13673.07961,1,9792.23,3959.81,5832.42,2444.445738,1,0.75,1,0.75,26,216,20000,11717.30794,6042.391629,0,12
C10160,106.455975,0.636364,2463.12,789.53,1673.59,0,1,0.5,1,0,0,46,4000,2573.722764,95.342224,0.636364,12
C10162,5837.105453,1,3488.49,3262.25,226.24,3303.1523,1,1,0.5,0.75,15,46,7900,0,,0,12
C10165,1046.37041,1,295,295,0,93.579809,0.083333,0.083333,0,0.083333,1,2,1200,439.407082,362.838185,0,12
C10168,871.568977,1,648.22,115,533.22,0,1,0.083333,1,0,0,27,1200,1110.886425,208.298424,0,12
C10169,1610.040203,1,557.19,525.64,31.55,0,0.25,0.083333,0.166667,0,0,5,4000,422.711848,616.005839,0,12
C10175,349.441102,1,1975.4,1393.5,581.9,0,0.666667,0.416667,0.333333,0,0,17,4000,1795.012223,167.219681,0,12
C10177,975.942008,1,10221.35,7141.38,3079.97,1620.685551,1,1,0.833333,0.583333,18,130,10500,10693.49585,347.641073,0.75,12
C10180,11972.01104,1,5715,4685.54,1029.46,1626.351366,1,1,1,0.166667,3,90,14000,4639.513745,3192.306018,0,12
C10182,1872.926275,1,766.61,766.61,0,1017.120578,0.833333,0.833333,0,0.25,5,12,2300,0,,0,12
C10184,336.799916,1,3535.8,1614.7,1921.1,0,1,0.416667,0.916667,0,0,44,20000,2814.231227,186.230835,1,12
C10189,5.465999,0.090909,196.81,173,23.81,0,0.083333,0.083333,0.083333,0,0,3,12000,0,,0,12
C10190,117.442684,1,653.73,493,160.73,0,0.666667,0.416667,0.416667,0,0,15,10000,441.588141,136.827952,0,12
C10194,861.001207,1,969.56,969.56,0,446.233197,0.416667,0.416667,0,0.083333,1,6,2400,0,,0,12
C10196,966.251742,1,311.45,311.45,0,955.959749,0.333333,0.333333,0,0.083333,1,15,1500,277.522439,286.299328,0,12
C10198,189.687964,1,66.14,66.14,0,0,0.083333,0.083333,0,0,0,2,6000,0,,0,12
C10199,40.417255,0.363636,79.2,79.2,0,1631.576375,0.083333,0.083333,0,0.083333,1,1,4000,1647.880773,24.815878,0.083333,12
C10201,3983.923705,1,756.54,756.54,0,0,0.5,0.5,0,0,0,15,4000,1110.870941,1431.201171,0,12
C10203,281.170378,0.818182,3163.69,56.8,3106.89,0,0.75,0.083333,0.666667,0,0,36,8000,2422.911622,187.046284,0.888889,12
C10205,1973.814964,1,873,873,0,0,0.166667,0.166667,0,0,0,5,8000,541.722532,762.682834,0,12
C10208,566.546048,0.909091,405.75,313.75,92,1044.651618,0.5,0.166667,0.416667,0.333333,6,12,2000,1249.835142,313.052687,0,12
C10211,8350.145568,1,1989.28,842.8,1146.48,893.757903,0.333333,0.166667,0.166667,0.083333,2,8,14000,4720.900413,2557.044576,0,12
C10214,1570.682346,1,645.32,645.32,0,1665.331678,0.166667,0.166667,0,0.416667,9,2,1800,2591.391006,808.217224,0,12
C10215,7201.736985,1,987.1,862.1,125,5468.620604,0.333333,0.333333,0.083333,0.25,16,9,10500,1941.541158,2391.987571,0,12
C10216,6467.885013,1,1464.14,978.71,485.43,3947.86784,0.833333,0.583333,0.666667,0.416667,10,23,11500,1658.563509,1887.413517,0,12
C10218,5635.860679,1,393.62,153.72,239.9,5933.467329,0.916667,0.916667,0.166667,0.75,24,15,10000,1919.630466,1731.549385,0,12
C10219,3670.50596,1,965.5,876.13,89.37,0,0.5,0.5,0.083333,0,0,9,7500,1034.932404,941.496383,0,12
C10221,768.004936,1,336.41,336.41,0,0,0.75,0.75,0,0,0,9,6000,947.696134,217.027653,0,12
C10227,2053.441598,1,493.85,441.35,52.5,1738.33378,0.5,0.333333,0.25,0.833333,16,10,2000,2795.059574,2661.324808,0,12
C10228,2422.311938,1,4490.69,3456.25,1034.44,188.783221,1,0.916667,1,0.083333,1,52,8500,5763.666926,582.589765,0,12
C10230,3061.213971,1,1829.2,1792.7,36.5,0,1,1,0.083333,0,0,17,7000,971.234118,985.954762,0,12
C10231,41.642389,0.857143,75.99,75.99,0,0,0.142857,0.142857,0,0,0,1,2700,69.163384,99.401747,0,7
C10232,5431.622968,1,1824.16,1598.56,225.6,0,1,0.916667,0.75,0,0,23,14500,1508.016452,1370.519926,0,12
C10233,6571.484039,1,9325.22,9325.22,0,0,0.333333,0.333333,0,0,0,5,8500,11036.72668,1824.680131,0,12
C10236,3019.019487,1,2260.41,1356.33,904.08,0,0.833333,0.416667,0.75,0,0,25,8500,2187.930651,739.224894,0,12
C10238,2723.369217,0.909091,10410.49,1158.84,9251.65,0,0.75,0.666667,0.583333,0,0,41,19500,9695.650901,726.696049,0.363636,12
C10239,1070.999446,1,990.7,482,508.7,0,0.75,0.25,0.583333,0,0,13,1400,505.317328,438.324017,0,12
C10242,2229.857287,1,45.65,45.65,0,0,0.083333,0.083333,0,0,0,1,2500,542.7463,628.211031,0,12
C10243,2363.489077,1,2641.98,1386.3,1255.68,263.884743,0.833333,0.666667,0.75,0.083333,1,41,3000,1839.928884,1075.456585,0,12
C10244,4014.388265,1,1189.52,1189.52,0,0,1,1,0,0,0,12,8000,0,,0,12
C10246,3421.571922,1,126.69,42.88,83.81,154.341344,0.333333,0.083333,0.25,0.083333,1,5,10500,2515.435738,975.504012,0,12
C10248,1874.716289,1,301.1,83,218.1,0,0.583333,0.166667,0.333333,0,0,10,1950,586.974046,1089.040271,0,12
C10249,3215.511032,0.818182,1112.2,1112.2,0,7616.064965,0.25,0.25,0,0.25,4,4,7200,0,,0,12
C10251,1272.927288,1,5350.19,4783.34,566.85,0,1,1,0.916667,0,0,101,8000,5825.602115,318.305326,0.166667,12
C10258,7938.559134,1,3677.52,3543.73,133.79,0,1,1,0.5,0,0,98,12500,2657.856602,1912.298544,0,12
C10266,5.871769,0.818182,29.68,29.68,0,0,0.083333,0.083333,0,0,0,1,10000,76.943584,75.595199,0,12
C10271,2224.590946,0.818182,3183,3183,0,0,0.166667,0.166667,0,0,0,2,9000,3823.346244,629.080506,0,12
C10273,2041.480046,1,7323.38,4944.88,2378.5,191.331735,1,0.833333,0.75,0.083333,1,81,3000,3792.095079,1737.893866,0.083333,12
C10275,614.263149,0.727273,408.93,74.8,334.13,0,0.5,0.083333,0.5,0,0,10,9000,2161.153147,312.343947,0,12
C10277,1082.33027,1,2980.46,657.78,2322.68,0,1,0.5,1,0,0,50,6000,1116.967993,289.439818,0,12
C10279,80.708806,1,569.9,569.9,0,0,0.166667,0.166667,0,0,0,3,9500,634.000055,92.012927,0.083333,12
C10284,5131.319584,1,32539.78,26547.43,5992.35,0,1,1,1,0,0,98,11500,26652.34432,1971.129435,0.083333,12
C10285,5265.763713,1,410.24,44.71,365.53,15452.97758,0.916667,0.083333,0.916667,0.333333,13,21,16500,12005.3074,1055.547896,0.083333,12
C10286,2.564117,0.181818,47.95,47.95,0,0,0.083333,0.083333,0,0,0,1,1500,294.507498,86.245988,0,12
C10287,1873.084577,1,126.57,126.57,0,181.139378,0.25,0.25,0,0.083333,1,4,2100,483.557464,524.426392,0,12
C10291,7645.108427,1,4693.15,4332.65,360.5,0,0.5,0.416667,0.333333,0,0,12,13500,4786.64868,1741.158024,0,12
C10293,668.956687,1,224.2,148.12,76.08,0,0.583333,0.083333,0.416667,0,0,9,9500,568.336995,272.270427,0,12
C10294,2302.184366,1,2856.57,922.84,1933.73,0,1,0.25,1,0,0,62,2500,2914.419813,2173.680619,0,12
C10298,2935.324966,1,409.63,351.87,57.76,1876.241162,0.583333,0.583333,0.083333,0.25,4,12,5000,580.13865,1114.588285,0,12
C10299,83.148283,0.636364,843.34,843.34,0,0,0.5,0.5,0,0,0,17,6500,1024.267592,122.850835,0.5,12
C10301,280.142117,1,2236.49,758.52,1477.97,0,1,1,0.666667,0,0,34,10000,1986.838064,233.614975,1,12
C10302,5790.930626,1,464.51,399.41,65.1,2516.727082,0.416667,0.25,0.166667,0.166667,6,10,6000,1515.594331,2092.915898,0,12
C10303,3605.714046,1,1779,1779,0,0,0.166667,0.166667,0,0,0,2,5000,856.05828,761.012234,0,12
C10306,635.090434,0.818182,5758.71,2252.37,3506.34,0,0.75,0.25,0.75,0,0,48,2900,7943.57021,197.416104,1,12
C10307,1521.1681,1,245.98,245.98,0,2792.67597,0.166667,0.166667,0,0.25,3,2,6000,2261.523522,388.258009,0,12
C10309,2503.107213,1,733.9,733.9,0,0,1,1,0,0,0,13,3000,1620.193277,857.535876,0,12
C10311,3621.70204,1,674.73,674.73,0,1684.957411,0.25,0.25,0,0.166667,8,12,4000,1139.058595,1403.477006,0,12
C10312,2762.479434,1,2702.47,1526.31,1176.16,0,1,0.25,1,0,0,27,11000,7596.768364,1013.086448,0.083333,12
C10314,388.873921,0.727273,1579.15,1462.35,116.8,0,0.583333,0.5,0.25,0,0,15,2700,451.600059,199.955286,0,12
C10316,208.131845,1,2161.38,451.5,1709.88,0,1,0.166667,1,0,0,41,4500,2059.879468,165.05215,1,12
C10318,133.911556,1,1446.05,544.45,901.6,0,1,0.083333,1,0,0,16,3500,1364.121036,186.240772,0.833333,12
C10322,1329.967543,1,2009.12,1296.68,712.44,1763.794583,1,1,1,0.25,10,36,2500,2715.972095,956.330023,0,12
C10323,515.904786,1,5359.02,2399.78,2959.24,0,1,1,1,0,0,60,6000,0,,0,12
C10328,994.105777,1,126.2,126.2,0,0,0.833333,0.833333,0,0,0,10,1950,314.302968,417.290247,0,12
C10330,0.478714,0.090909,734.97,159,575.97,0,0.833333,0.083333,0.75,0,0,16,6000,1159.135064,,0,12
C10334,2233.074041,1,445.2,445.2,0,0,0.166667,0.166667,0,0,0,4,8000,1042.991769,579.587654,0,12
C10338,2459.862339,1,678,678,0,927.25167,1,1,0,0.25,4,12,2500,1926.31853,1933.173023,0,12
C10343,706.675991,1,2721.16,2417.41,303.75,0,1,0.5,1,0,0,32,6500,4952.900653,280.821958,0.083333,12
C10344,361.319366,1,3095.96,1383.56,1712.4,0,1,0.916667,0.833333,0,0,32,14000,4003.782858,197.186568,0.583333,12
C10348,498.208616,1,4786.61,4397.64,388.97,0,0.916667,0.833333,0.5,0,0,61,9000,3805.669705,163.459999,1,12
C10351,907.982017,1,216.94,216.94,0,1011.997944,0.166667,0.166667,0,0.166667,5,3,3200,222.02316,300.210049,0,12
C10352,1132.386178,0.454545,2246.3,2246.3,0,14048.07181,0.333333,0.333333,0,0.416667,20,8,6000,32048.6122,406.790252,0.8,12
C10353,1254.6691,1,361.73,361.73,0,198.686744,0.166667,0.166667,0,0.083333,1,2,1500,535.606816,432.68808,0,12
C10355,260.838885,1,2854.11,1797.96,1056.15,0,1,0.833333,0.916667,0,0,51,9500,2437.332725,176.283228,1,12
C10357,1897.672025,1,422.18,422.18,0,0,1,1,0,0,0,12,5500,2961.632199,440.30634,0,12
C10358,1032.241153,1,1005.52,464.5,541.02,0,1,0.5,0.833333,0,0,33,3000,1866.265366,237.328382,0,12
C10359,3536.601227,1,2132.93,959.1,1173.83,5340.016172,1,0.333333,1,0.75,20,74,11000,8251.146946,834.025674,0,12
C10366,41.754778,0.181818,636.15,636.15,0,0,0.166667,0.166667,0,0,0,5,8500,918.414211,57.150516,0.181818,12
C10374,85.285023,0.75,423.24,287,136.24,0,0.625,0.375,0.375,0,0,9,11000,296.01675,134.448872,0,8
C10375,1903.688611,1,6079.5,4719.5,1360,10227.22894,0.916667,0.25,0.666667,0.25,22,31,7300,18552.39489,762.263884,0.416667,12
C10376,813.068705,1,439.38,439.38,0,727.658311,0.083333,0.083333,0,0.25,8,2,1200,237.996469,265.708814,0,12
C10378,237.669312,1,259.13,259.13,0,0,0.083333,0.083333,0,0,0,1,2300,2680.635587,2503.374595,0.25,12
C10382,426.372628,1,5749.96,5439.96,310,0,1,1,0.25,0,0,50,12000,5711.540654,202.73209,0.833333,12
C10385,1128.229387,1,5068.88,3529.88,1539,0,1,1,1,0,0,76,4500,3904.568067,373.931063,0.083333,12
C10387,8.520292,0.545455,64.12,64.12,0,0,0.166667,0.166667,0,0,0,2,7000,176.600545,76.462301,0,12
C10388,11278.95243,1,6855.59,2762.92,4092.67,0,0.916667,0.75,0.833333,0,0,39,18500,4868.088671,2861.890896,0,12
C10395,1077.606225,0.727273,343.21,343.21,0,1609.900552,0.25,0.25,0,0.333333,8,4,1500,930.328071,3245.693485,0,12
C10396,1.838084,0.272727,16.5,16.5,0,0,0.083333,0.083333,0,0,0,1,6000,57.595083,67.1925,0,12
C10397,507.144348,1,5708.18,4584.78,1123.4,0,1,0.75,0.75,0,0,47,4000,5589.952268,232.131169,1,12
C10398,816.82453,0.3,42.3,42.3,0,3967.709973,0.1,0.1,0,0.2,5,1,6000,361.853722,645.320421,0,10
C10399,1526.506915,1,46.67,46.67,0,0,0.083333,0.083333,0,0,0,1,1800,338.413344,642.547142,0,12
C10404,681.95925,1,98,98,0,0,0.166667,0.166667,0,0,0,2,4000,192.369983,221.375942,0,12
C10405,1535.248256,1,857.36,857.36,0,0,1,1,0,0,0,13,6550,3239.629759,411.871046,0.083333,12
C10406,1508.513765,0.818182,2747.12,1247.12,1500,246.046033,0.25,0.083333,0.166667,0.083333,1,4,5000,4730.374245,481.558276,0.1,12
C10407,11209.37076,1,11147.33,1137.4,10009.93,2728.576925,1,0.25,1,0.166667,8,126,11000,7932.77402,17494.90735,0,12
C10410,4543.789386,1,255.12,5,250.12,0,0.666667,0.25,0.5,0,0,11,8500,1703.332126,1121.510137,0,12
C10413,2259.431829,1,780.64,199.65,580.99,1227.555485,1,0.166667,0.833333,0.333333,6,22,3500,663.553502,483.836254,0,12
C10414,437.789873,1,1532.1,223,1309.1,0,0.75,0.166667,0.666667,0,0,14,5000,1834.368953,212.770698,0,12
C10420,3298.692478,1,1088.83,518.39,570.44,0,0.416667,0.083333,0.333333,0,0,6,9000,6862.520735,994.384835,0,12
C10424,154.641707,0.363636,1897.92,97.92,1800,0,0.25,0.166667,0.166667,0,0,5,13500,5563.437084,248.700571,1,12
C10426,62.287137,1,1263.29,279.99,983.3,0,1,1,0.583333,0,0,25,9500,1356.425369,179.894243,0.4,12
C10431,9335.31417,1,226.23,226.23,0,0,0.166667,0.166667,0,0,0,5,15000,1885.239981,4980.192685,0,12
C10432,6404.955912,1,3970.8,2267,1703.8,0,1,0.583333,0.916667,0,0,64,7500,3879.252512,1868.983718,0,12
C10434,1403.597712,1,1050.83,67.9,982.93,4083.515108,1,0.083333,1,0.25,4,24,5000,4673.520993,982.544984,0,12
C10435,469.878834,1,1364.99,64.99,1300,284.754535,0.5,0.083333,0.416667,0.166667,2,7,2000,1849.10398,263.163209,0.2,12
C10438,6032.740391,1,7553.48,2643.53,4909.95,0,0.916667,0.75,1,0,0,85,13500,5377.338091,1365.123434,0,12
C10444,6822.877573,1,137.34,137.34,0,4815.112874,0.083333,0.083333,0,0.666667,16,1,10000,1874.954894,1716.092764,0,12
C10448,541.915572,0.636364,1377.72,1377.72,0,0,0.25,0.25,0,0,0,5,2500,182.177646,200.759856,0,12
C10453,4503.390811,1,1634.74,1376,258.74,94.837161,1,0.333333,1,0.083333,1,38,13000,1094.345336,1194.234398,0,12
C10455,4479.115547,1,759.15,759.15,0,2493.111705,1,1,0,0.25,6,12,6000,994.500495,1384.111493,0,12
C10456,37.753941,0.363636,243.36,243.36,0,0,0.083333,0.083333,0,0,0,2,1800,546.417272,134.985783,0.25,12
C10461,5580.530306,1,2470.4,457.73,2012.67,1652.878895,0.5,0.083333,0.5,0.083333,1,19,9500,3340.041274,3024.949485,0,12
C10467,21.12921,0.545455,229.5,54,175.5,0,0.5,0.083333,0.416667,0,0,7,3150,423.206638,157.471831,0.714286,12
C10468,1534.969344,1,1476.19,1476.19,0,0,1,1,0,0,0,23,2500,1493.919986,382.989143,0,12
C10470,4700.106602,1,2570,492.46,2077.54,124.563782,0.75,0.166667,0.666667,0.166667,2,40,4500,3259.958288,5620.295192,0,12
C10473,87.442862,0.818182,786.32,186.32,600,0,0.636364,0.090909,0.545455,0,0,7,7500,881.284581,97.186371,0.666667,11
C10475,395.052994,1,1239.46,752.28,487.18,0,0.666667,0.416667,0.416667,0,0,14,1500,401.217047,177.766827,0,12
C10476,1715.459275,1,96.75,34.65,62.1,19.141227,0.333333,0.083333,0.25,0.083333,1,7,1800,452.225512,411.612521,0,12
C10477,1492.039988,1,4106.15,2688.46,1417.69,734.816479,0.333333,0.25,0.416667,0.083333,1,50,12000,9678.173119,606.899183,0.5,12
C10478,636.669685,1,2022.38,1892.38,130,0,0.916667,0.916667,0.333333,0,0,19,6000,939.306791,301.000749,0,12
C10480,223.772475,1,3654.08,291.41,3362.67,0,1,0.166667,1,0,0,32,2500,3301.334578,180.338402,0.333333,12
C10481,1122.603377,1,883.73,457.62,426.11,0,0.833333,0.333333,0.75,0,0,26,3000,632.062443,568.410749,0,12
C10482,805.131074,1,795.54,167.4,628.14,418.482499,1,0.166667,1,0.083333,1,20,1700,1804.065076,261.258072,0,12
C10487,6426.639738,1,4462.86,2816.46,1646.4,4599.625146,1,0.833333,0.916667,0.333333,11,103,11800,1793.043228,3101.01703,0,12
C10488,206.596865,0.363636,1726.67,1726.67,0,0,0.166667,0.166667,0,0,0,4,6000,4804.383296,128.834658,0,12
C10489,5810.748774,1,217,217,0,12377.36037,0.166667,0.166667,0,0.583333,16,2,9000,10428.37611,1599.353926,0.166667,12
C10491,2597.400267,1,1748.73,518.44,1230.29,0,1,0.416667,1,0,0,31,6500,2497.488126,1584.520204,0,12
C10497,150.952465,0.727273,6407.67,3725.33,2682.34,0,1,0.666667,1,0,0,44,14500,3484.429075,108.937025,0.3,12
C10506,285.813075,1,3220.09,2941.39,278.7,0,1,1,0.416667,0,0,24,15000,826.764555,212.075152,1,12
C10507,204.329381,1,6558.55,6558.55,0,0,1,1,0,0,0,74,7000,5872.707939,169.703195,0.916667,12
C10510,6856.045926,1,262.1,262.1,0,3053.777459,0.166667,0.166667,0,0.333333,13,5,13000,1629.239381,1998.044046,0,12
C10511,155.644239,0.727273,1626.83,828.85,797.98,0,0.75,0.75,0.166667,0,0,17,13000,1924.101393,123.522314,0.571429,12
C10512,4263.008734,1,3522.57,1482,2040.57,2485.845274,1,0.333333,1,0.25,6,25,6000,1165.621928,1520.54755,0,12
C10515,911.893997,1,1604.8,1527.3,77.5,1302.014616,0.25,0.25,0.083333,0.083333,2,11,4500,191.366024,307.812023,0.083333,12
C10517,12478.17286,1,174,174,0,3269.418821,0.25,0.25,0,0.666667,21,3,14000,3251.190662,3872.099498,0,12
C10521,2516.753364,1,606.62,598.95,7.67,0,0.833333,0.833333,0.083333,0,0,14,2750,1043.617154,1342.522124,0,12
C10524,80.062693,1,727.27,727.27,0,0,0.583333,0.583333,0,0,0,11,20000,822.928249,206.656437,0.916667,12
C10525,839.897907,1,1869.88,815.11,1054.77,0,1,0.363636,0.909091,0,0,30,4000,999.235386,280.393252,0,11
C10529,2643.343414,1,26402.39,22257.39,4145,0,1,1,0.333333,0,0,114,16500,24529.27662,534.032339,1,12
C10532,5036.870531,1,1752.15,1564.16,187.99,1072.351863,1,0.916667,0.583333,0.25,4,53,10300,1489.597574,1549.64691,0,12
C10535,3718.606699,1,1172.68,1172.68,0,10372.8492,0.083333,0.083333,0,0.5,10,7,9500,4820.842925,760.028047,0,12
C10536,4914.325665,1,1653.6,353.6,1300,1442.395734,0.75,0.25,0.583333,0.166667,3,14,5000,3410.253378,3451.70216,0,12
C10544,15258.2259,1,529.3,529.3,0,4100.891579,0.5,0.5,0,1,23,10,19000,2051.14647,3905.740148,0,8
C10547,257.997181,1,1020.47,185,835.47,0,0.916667,0.083333,0.916667,0,0,27,6500,1099.15757,163.155119,0,12
C10548,4507.733288,1,4754.32,3636.53,1117.79,0,1,0.833333,0.75,0,0,43,9500,1924.73689,957.077692,0,12
